"two_year_recid","prior_counts","s","race","age","gender","u_hat"
0,1,1,0,1.31835056508729,0,-0.286116489137842
0,0,1,0,0.210169827547938,1,-0.875823483537838
0,4,1,0,0.806882532376819,0,0.574648214137621
1,23,1,1,0.0396804833111143,1,1.98398193602024
1,5,1,1,-0.898010909991414,0,0.745814942287719
1,2,1,1,-0.72752156575459,0,0.0828095505188276
0,0,1,1,-0.642276893636179,0,-0.869621605593443
0,0,1,1,-0.557032221517767,1,-0.883316372469482
1,7,1,0,-0.557032221517767,1,1.01331869456698
0,2,1,1,0.295414499666349,0,0.0752717650724298
0,1,1,1,-0.557032221517767,1,-0.340911149976031
1,7,1,0,1.82981859779776,0,1.03619444993298
0,15,1,1,0.295414499666349,0,1.63564901085616
0,2,1,1,-0.557032221517767,0,0.06897971099231
1,0,1,0,1.4035952372057,1,-0.864400917272293
0,0,1,0,1.4035952372057,0,-0.884831240051614
1,1,1,1,0.124925155429526,0,-0.331919646980312
0,0,1,1,1.14786122085047,0,-0.895613111603908
1,4,1,0,0.210169827547938,0,0.573422055367804
0,2,1,1,-0.386542877280944,1,0.0589446745116155
0,5,1,1,0.551148516021584,1,0.75745401974978
1,11,1,1,-0.642276893636179,0,1.38665136794908
0,0,1,1,0.210169827547938,0,-0.89660318794971
1,4,1,1,-0.130808860925709,0,0.57422233934087
0,11,1,1,1.65932925356094,0,1.37463944015821
0,2,1,1,-0.983255582109825,0,0.104912020627219
0,0,1,1,0.551148516021584,0,-0.848817406520182
0,0,1,0,1.48883990932411,0,-0.880079449554595
1,13,1,0,0.721637860258407,0,1.51957534811785
0,0,1,1,1.48883990932411,0,-0.903553864560955
0,1,1,0,-0.557032221517767,0,-0.294263015453945
1,11,1,1,-0.386542877280944,0,1.3950263076912
0,1,1,0,-0.557032221517767,0,-0.310896547968512
0,0,1,1,-1.06850025422824,0,-0.891096469441373
0,4,1,1,-0.386542877280944,0,0.559907754592661
0,4,1,1,-0.812766237873002,0,0.600092750916837
1,0,1,0,-0.301298205162532,0,-0.88848441285212
1,0,1,0,0.210169827547938,0,-0.917135814619715
0,14,1,1,-0.216053533044121,0,1.58279263609051
0,1,1,0,1.57408458144252,0,-0.340598008181318
1,25,1,1,-0.557032221517767,0,2.03805348985303
1,8,1,0,0.806882532376819,0,1.13273490985573
0,0,1,1,-0.812766237873002,0,-0.913106913143784
1,1,1,0,-1.06850025422824,0,-0.326601641234753
0,0,1,1,0.210169827547938,1,-0.870070517160684
0,3,1,1,0.465903843903173,1,0.328184138576765
0,0,1,1,-0.301298205162532,1,-0.884609613151541
1,1,1,1,-0.983255582109825,0,-0.315357769372071
1,5,1,0,-0.983255582109825,1,0.766295368998726
0,0,1,1,-0.898010909991414,0,-0.873312790582038
0,1,1,1,-0.471787549399356,0,-0.306227482179583
1,1,1,1,-1.23898959846506,0,-0.283088217021636
1,2,1,1,-0.386542877280944,0,0.0571689345288322
0,0,1,1,0.380659171784761,0,-0.871190687286011
0,4,1,1,-0.642276893636179,0,0.565476998539977
0,2,1,1,0.210169827547938,1,0.0382807269441832
0,0,1,1,-1.23898959846506,0,-0.912938845004265
0,0,1,1,-1.06850025422824,0,-0.916531452942828
0,0,1,1,1.48883990932411,1,-0.940663098697399
1,0,1,1,-0.983255582109825,1,-0.878781559444039
0,0,1,1,1.14786122085047,1,-0.911699354322287
0,0,1,0,-0.812766237873002,0,-0.912430549494764
1,0,1,0,-0.642276893636179,0,-0.916911783041675
1,11,1,1,-0.386542877280944,0,1.39462835074406
1,3,1,1,-1.06850025422824,0,0.377667595720786
0,1,1,0,-1.06850025422824,1,-0.308517697511581
0,2,1,1,0.551148516021584,1,0.0623575387474555
0,0,1,1,-0.812766237873002,1,-0.899860073832764
1,3,1,1,1.48883990932411,0,0.359652389580422
0,0,1,1,0.721637860258407,0,-0.901898540844295
0,3,1,0,0.210169827547938,0,0.367228212623967
0,1,1,0,3.02324400745552,0,-0.320817009003347
0,3,1,0,0.977371876613642,0,0.34144834585479
1,0,1,1,-1.15374492634665,0,-0.841700445154837
1,1,1,1,-0.72752156575459,0,-0.330798323379794
1,3,1,1,0.295414499666349,0,0.381634564536325
0,5,1,0,-0.0455641888072973,0,0.748873179447
0,5,1,1,-0.0455641888072973,0,0.757688927425674
1,0,1,0,-0.983255582109825,0,-0.896957330584402
1,5,1,1,-0.0455641888072973,0,0.741702268582553
1,6,1,1,0.380659171784761,0,0.908500042736506
0,0,1,1,-0.898010909991414,0,-0.860424520068696
0,2,1,0,2.00030794203458,0,0.0910884510365612
0,0,1,1,-1.15374492634665,1,-0.887375705361545
1,4,1,1,-0.983255582109825,0,0.585318946505422
0,0,1,0,2.34128663050823,0,-0.84544596814354
0,5,1,0,0.210169827547938,0,0.761204903015481
1,2,1,1,0.721637860258407,0,0.0869028228962503
0,5,1,1,-0.216053533044121,1,0.744431881708118
0,0,1,1,-0.983255582109825,0,-0.884548456752787
0,0,1,1,-0.642276893636179,0,-0.893532311794619
1,0,1,0,0.806882532376819,0,-0.882562876891138
1,3,1,0,-0.557032221517767,0,0.374651297024876
0,0,1,0,0.636393188139996,1,-0.923121295191692
1,9,1,1,-0.898010909991414,0,1.22471574380243
0,0,1,1,-0.642276893636179,0,-0.925312718368219
1,0,1,1,-1.23898959846506,0,-0.938511480970319
0,0,1,0,1.4035952372057,1,-0.906814291425226
0,0,1,0,1.82981859779776,0,-0.885325324280744
0,7,1,1,-0.471787549399356,0,1.03589536635912
1,0,1,1,-1.23898959846506,0,-0.953969670524102
0,8,1,0,-0.642276893636179,0,1.12032009434508
1,2,1,1,-0.898010909991414,0,0.0572805246502305
1,36,1,0,1.57408458144252,0,2.3217072872333
1,2,1,0,-0.557032221517767,0,0.0824089512895334
0,3,1,1,-1.15374492634665,0,0.358393215884843
0,0,1,1,0.124925155429526,1,-0.877346089558455
1,2,1,0,-0.812766237873002,1,0.0696915433959169
0,1,1,1,-0.983255582109825,1,-0.330599550002752
0,1,1,0,-0.557032221517767,0,-0.338724097285594
1,0,1,1,-1.15374492634665,1,-0.880557230389787
0,0,1,0,0.124925155429526,0,-0.892025547230345
0,0,1,1,-0.898010909991414,0,-0.842156994515368
1,1,1,1,-0.386542877280944,0,-0.329163033609933
0,0,1,1,-0.471787549399356,0,-0.896057671749114
0,0,1,0,-0.386542877280944,1,-0.862431080926621
0,1,1,1,1.4035952372057,0,-0.356665220580793
1,12,1,1,-0.216053533044121,0,1.47740520231066
0,1,1,1,-0.983255582109825,0,-0.327038574777339
0,3,1,1,1.06261654873205,0,0.345794641127996
0,0,1,0,0.210169827547938,0,-0.846640816574595
1,2,1,1,-1.32423427058347,0,0.0917971140997963
0,0,1,1,-0.642276893636179,0,-0.914686139698194
0,0,1,1,0.380659171784761,0,-0.860203444064574
0,0,1,0,-1.15374492634665,1,-0.867023994539633
0,0,1,0,2.93799933533711,0,-0.866826912091518
0,2,1,0,-1.15374492634665,0,0.0567296219824385
1,6,1,1,-0.72752156575459,0,0.901001957740181
0,0,1,0,-1.06850025422824,0,-0.915265530018308
1,0,1,1,-0.983255582109825,1,-0.837514638008466
0,3,1,1,1.23310589296888,0,0.364594872794333
0,2,1,1,-0.471787549399356,0,0.0731761407186524
0,0,1,0,2.17079728627141,1,-0.898273976741857
1,3,1,1,-0.983255582109825,0,0.354210760309557
0,1,1,1,-1.23898959846506,1,-0.359752517782866
0,1,1,1,0.124925155429526,0,-0.332290592257968
0,0,1,0,-0.386542877280944,0,-0.928207104126544
0,1,1,1,-1.15374492634665,0,-0.307866158084086
1,2,1,0,-1.06850025422824,0,0.0679588300977367
1,4,1,1,-1.15374492634665,0,0.592561568779508
1,0,1,1,-1.15374492634665,0,-0.947545468284434
0,1,1,0,-0.0455641888072973,0,-0.27460912965708
1,1,1,0,1.31835056508729,1,-0.341669770531191
1,0,1,0,0.465903843903173,0,-0.902352074593164
1,7,1,1,-0.812766237873002,0,1.01133956875817
0,1,1,0,1.57408458144252,1,-0.337366755706749
0,0,1,1,-0.898010909991414,1,-0.870620866763502
0,1,1,1,0.636393188139996,0,-0.295716219184286
0,1,1,1,-0.557032221517767,0,-0.320045448837334
1,6,1,1,-0.72752156575459,0,0.916207707655471
1,4,1,1,-1.06850025422824,0,0.567903582745829
0,3,1,0,-1.15374492634665,0,0.362757039598511
1,23,1,1,0.210169827547938,0,1.9740810545027
0,2,1,1,0.0396804833111143,0,0.103059416775002
0,2,1,1,1.57408458144252,0,0.0745151215858227
0,7,1,1,-0.471787549399356,0,1.02740653663665
1,23,1,0,1.14786122085047,0,1.97164852579101
0,0,1,0,1.48883990932411,1,-0.881413348213101
1,12,1,1,-0.642276893636179,0,1.46603793469418
0,5,1,1,-0.557032221517767,0,0.755862100462036
0,3,1,0,-0.130808860925709,0,0.34703390798132
0,0,1,1,-0.557032221517767,1,-0.872505947475432
1,14,1,1,0.124925155429526,0,1.59572221675997
0,2,1,1,-0.471787549399356,0,0.0944440109291621
1,0,1,1,-1.06850025422824,0,-0.934218244088818
0,0,1,0,-0.812766237873002,0,-0.848316866893795
0,5,1,1,1.82981859779776,0,0.748150568578859
1,9,1,1,-0.642276893636179,0,1.22154268211061
1,4,1,0,1.48883990932411,0,0.598224665752749
0,3,1,1,-0.216053533044121,0,0.35498994744938
0,4,1,1,2.17079728627141,0,0.586604356103498
0,1,1,1,-0.983255582109825,0,-0.345372156397037
0,0,1,0,0.380659171784761,1,-0.845917771174444
0,0,1,0,1.82981859779776,0,-0.852382594494719
0,0,1,1,-1.06850025422824,1,-0.884369594863484
0,11,1,1,1.57408458144252,0,1.40404674755077
1,0,1,0,-0.812766237873002,0,-0.858859110939472
0,0,1,1,-1.15374492634665,0,-0.86673800072163
0,0,1,0,-1.06850025422824,0,-0.892257086158514
0,2,1,0,2.00030794203458,1,0.0634132713595064
1,7,1,1,-0.301298205162532,0,1.02284349020307
1,1,1,0,-1.06850025422824,0,-0.336483966659353
1,8,1,1,-0.557032221517767,0,1.13434914755725
0,1,1,1,0.636393188139996,0,-0.314242190315062
1,0,1,1,-1.23898959846506,0,-0.873661923854129
1,0,1,0,-0.471787549399356,0,-0.891279506733425
1,21,1,1,2.00030794203458,0,1.90398425924445
0,3,1,1,-1.06850025422824,0,0.358577186016516
1,1,1,1,1.14786122085047,0,-0.329510519307003
0,0,1,0,0.210169827547938,0,-0.891430961242542
1,1,1,1,1.91506326991617,0,-0.314309375676378
0,3,1,0,-0.642276893636179,0,0.345822373683147
0,3,1,1,-0.72752156575459,0,0.361355503234417
1,3,1,0,-0.898010909991414,0,0.363506097985107
0,0,1,0,-0.130808860925709,0,-0.851801944499212
0,2,1,1,-0.471787549399356,0,0.0743663111226337
1,3,1,1,-0.898010909991414,1,0.34569099820902
1,1,1,0,-1.32423427058347,0,-0.334429662525074
0,2,1,0,0.124925155429526,0,0.0870157628006987
0,0,1,0,-0.898010909991414,1,-0.892115981223358
0,0,1,0,-0.0455641888072973,0,-0.953419631665907
1,2,1,1,-0.812766237873002,0,0.0560574991719677
1,1,1,1,-1.23898959846506,0,-0.32087804587881
1,1,1,1,-0.898010909991414,0,-0.315762145564175
0,4,1,0,2.25604195838982,0,0.579706711828691
0,3,1,1,1.31835056508729,1,0.338427423227206
0,1,1,1,-0.386542877280944,0,-0.346303811610888
0,5,1,1,0.295414499666349,0,0.763776168422783
0,0,1,0,-0.898010909991414,0,-0.857407619701976
1,2,1,1,0.977371876613642,1,0.0826344016589073
1,0,1,0,0.551148516021584,0,-0.945623223847771
1,0,1,1,-1.23898959846506,0,-0.876132234984576
1,13,1,1,-0.642276893636179,0,1.54332686024348
1,1,1,1,-0.72752156575459,0,-0.33133141175967
1,3,1,1,-0.471787549399356,0,0.346195184788683
1,6,1,0,1.48883990932411,0,0.901120097807053
1,1,1,0,-0.557032221517767,0,-0.284213514916703
1,5,1,1,1.74457392567935,0,0.768622300226989
1,10,1,1,-0.72752156575459,0,1.31394732906565
0,5,1,1,-0.557032221517767,0,0.753752952723399
0,2,1,0,2.42653130262664,0,0.06631772097171
0,0,1,1,0.636393188139996,0,-0.899763107268457
0,6,1,1,-0.983255582109825,0,0.912288121285255
1,28,1,1,1.65932925356094,0,2.12507182693905
1,8,1,1,0.0396804833111143,0,1.14026507705449
1,6,1,1,-0.898010909991414,1,0.899267261015009
0,2,1,1,1.65932925356094,0,0.0652827811618841
1,12,1,1,2.00030794203458,0,1.45599101999095
1,1,1,0,-0.983255582109825,0,-0.344279261475666
0,1,1,1,0.0396804833111143,0,-0.331091161258185
1,1,1,1,-1.23898959846506,0,-0.296935033861456
0,0,1,0,1.4035952372057,0,-0.887515924739993
0,0,1,1,-0.898010909991414,0,-0.863563924879087
0,3,1,0,0.210169827547938,0,0.368673925556273
0,3,1,0,1.06261654873205,0,0.338711854282118
1,4,1,0,-0.0455641888072973,0,0.582273807109206
0,0,1,0,1.82981859779776,0,-0.88432005026399
1,4,1,1,-0.0455641888072973,0,0.57689251756317
1,1,1,0,2.08555261415299,0,-0.339059116758404
0,0,1,1,0.0396804833111143,0,-0.866214179469057
0,1,1,1,2.00030794203458,0,-0.349026767650442
0,2,1,1,-0.471787549399356,0,0.0539046697390983
1,6,1,0,-0.898010909991414,1,0.90640456123862
1,2,1,0,-1.15374492634665,0,0.0885268724015822
1,5,1,1,1.31835056508729,0,0.748487588646073
0,1,1,1,-0.72752156575459,0,-0.322031287158111
0,0,1,0,-0.386542877280944,1,-0.858031167152964
1,0,1,0,-0.471787549399356,0,-0.917636712051296
0,0,1,1,1.65932925356094,0,-0.883539288335365
1,4,1,1,-0.471787549399356,0,0.560972873370127
0,0,1,0,2.08555261415299,1,-0.913252100642751
0,0,1,1,0.295414499666349,0,-0.873360496363086
1,1,1,0,-0.642276893636179,0,-0.30391169865656
1,7,1,1,-0.72752156575459,0,1.02736227447132
0,20,1,1,1.48883990932411,0,1.86551069799181
1,33,1,1,2.68226531898188,0,2.26043651775812
0,2,1,0,-0.642276893636179,0,0.0604085543422317
0,1,1,0,1.4035952372057,0,-0.317183292730663
0,1,1,0,0.0396804833111143,0,-0.326281715272651
0,4,1,0,1.48883990932411,0,0.552291437552657
0,12,1,1,1.14786122085047,0,1.46925906507432
0,0,1,1,-0.72752156575459,1,-0.919967212525997
0,0,1,0,1.14786122085047,1,-0.926746178461914
0,7,1,1,-0.386542877280944,0,1.01668275952126
0,2,1,1,-0.557032221517767,0,0.0751358083490109
0,2,1,1,-0.130808860925709,0,0.0786039759570964
0,6,1,1,-0.0455641888072973,1,0.87075003860169
0,0,1,1,-0.812766237873002,0,-0.921728810116061
1,10,1,1,2.08555261415299,0,1.31168194996736
1,5,1,1,-0.471787549399356,0,0.742966450476635
0,0,1,0,-0.898010909991414,0,-0.90772844471364
1,1,1,0,1.14786122085047,0,-0.332837499294044
0,4,1,1,1.48883990932411,0,0.575811146709297
1,0,1,1,-1.23898959846506,0,-0.873481972497034
1,4,1,0,-0.812766237873002,0,0.576065123971488
0,0,1,0,-0.898010909991414,0,-0.904233796765637
0,0,1,0,-0.983255582109825,0,-0.913743006461701
0,6,1,0,-0.642276893636179,0,0.911198521218076
1,1,1,1,-0.812766237873002,0,-0.281024530162565
0,0,1,1,-0.301298205162532,0,-0.895097643169632
1,6,1,1,-0.812766237873002,0,0.893034749239796
1,1,1,0,-0.216053533044121,0,-0.328781141863288
1,0,1,0,-1.15374492634665,0,-0.898329204794798
0,1,1,1,0.210169827547938,0,-0.343959524765894
0,0,1,0,-0.812766237873002,0,-0.903671616794891
0,20,1,1,-0.216053533044121,0,1.86583708664901
0,0,1,1,0.0396804833111143,0,-0.910412153992803
1,14,1,1,0.636393188139996,0,1.56742150841297
1,9,1,0,-0.898010909991414,0,1.22519506177735
1,0,1,1,-1.15374492634665,0,-0.906102972859078
0,1,1,0,1.06261654873205,0,-0.312178184359416
1,5,1,1,-0.642276893636179,0,0.747685971434242
1,2,1,1,0.721637860258407,0,0.0765447099440539
1,2,1,0,0.977371876613642,0,0.0877333594397085
0,1,1,1,0.806882532376819,0,-0.323996498265585
0,2,1,0,-0.983255582109825,0,0.0959356691408924
0,8,1,1,0.636393188139996,0,1.12505850937537
0,6,1,1,2.00030794203458,0,0.903850399122277
0,3,1,1,-0.72752156575459,0,0.36959914350163
0,0,1,1,1.14786122085047,1,-0.922537408433877
1,3,1,1,0.380659171784761,0,0.350611110414814
1,3,1,1,-1.15374492634665,0,0.339958927972589
0,1,1,0,2.42653130262664,0,-0.361979719818223
1,3,1,1,-1.06850025422824,0,0.348196426665402
0,3,1,1,1.31835056508729,0,0.38607760694895
0,0,1,1,0.295414499666349,0,-0.89353137835871
0,1,1,0,0.551148516021584,0,-0.284847741371585
1,16,1,1,-0.557032221517767,0,1.6840512412376
0,0,1,1,-0.386542877280944,1,-0.884497945547753
0,1,1,1,-0.983255582109825,0,-0.324575835289335
1,2,1,0,-0.812766237873002,0,0.0468677636521252
0,5,1,0,0.465903843903173,0,0.744664341180166
0,8,1,1,-0.898010909991414,0,1.13493254616951
1,5,1,1,-0.642276893636179,0,0.764921156830035
0,11,1,0,0.806882532376819,0,1.39401921206908
1,6,1,1,0.0396804833111143,1,0.891037324753623
0,0,1,0,0.636393188139996,0,-0.848548664490177
0,15,1,1,0.295414499666349,0,1.6442836101476
0,4,1,1,-0.72752156575459,0,0.582397477762179
0,0,1,1,-0.812766237873002,1,-0.928104654588547
0,1,1,1,2.51177597474505,0,-0.325886552551336
1,2,1,0,1.23310589296888,1,0.0568352506949099
1,5,1,0,1.31835056508729,0,0.76930221790376
1,0,1,0,2.68226531898188,0,-0.893560419113824
0,0,1,0,0.977371876613642,1,-0.931795302568066
1,5,1,1,-0.386542877280944,0,0.747990207393614
0,0,1,0,-1.06850025422824,1,-0.871730014381794
0,1,1,0,-0.983255582109825,0,-0.320358203485566
1,0,1,1,-0.386542877280944,0,-0.835326599791281
0,0,1,1,-0.301298205162532,0,-0.885315548558705
0,1,1,1,-0.301298205162532,0,-0.347312759701026
0,0,1,1,-0.812766237873002,0,-0.831714553327258
0,0,1,0,-1.15374492634665,1,-0.879083557540244
0,0,1,1,-0.642276893636179,0,-0.91862838364671
1,0,1,1,-1.23898959846506,0,-0.879774043520688
0,1,1,1,-0.216053533044121,0,-0.353459798933597
0,0,1,0,-0.898010909991414,1,-0.88818853069493
0,1,1,1,-1.23898959846506,0,-0.306430282716757
1,3,1,1,-0.301298205162532,0,0.363462729255333
1,3,1,1,-0.642276893636179,0,0.378132042593739
0,0,1,1,0.465903843903173,0,-0.892585992579372
1,11,1,1,-1.06850025422824,0,1.39187871038041
