"bar_pass_fair","location","UGPA","LSAT","ZFYA","race","gender","u_hat"
1,2,3.2,32,0.76,0,1,-0.151752684496466
0,1,3.5,27,-1.05,0,0,1.56566870439
1,1,2.4,36,0.39,0,1,0.239142740065443
0,1,3.2,19,-0.7,1,0,1.73749977525301
1,1,3.7,34,1.23,0,0,-0.622624986863027
1,1,3.1,35,1.71,0,0,-0.338116539601476
1,6,3.2,31,-0.82,1,0,0.214305848000963
1,5,2.8,36,-0.17,0,1,0.165888576484876
1,1,3,32,-0.63,1,1,0.304257209205883
1,1,3.7,38,-0.05,0,0,-0.44457931563476
1,3,3.2,34,0.37,0,1,-0.0808886183659538
1,1,2.8,38,0.44,0,1,-0.0676727446101386
1,2,3.4,36,0.46,0,0,-0.30512327672043
1,1,3.5,42,-0.42,0,0,-0.351628505850457
0,1,2.3,29,-0.93,0,1,1.85406522974512
1,1,3.7,31,-0.49,0,1,-0.0957784995001119
1,5,2.6,23,0.48,1,0,0.448374577363116
1,1,3.8,37,0.72,0,1,-0.679926917693697
1,1,3.3,33,-1.24,0,0,0.199267718357946
1,1,3.3,35,-0.7,0,1,0.0275463701960167
1,5,3.2,36,0.83,0,1,-0.283620256909326
1,1,2.4,35,-0.63,0,1,0.408505932006356
1,1,3.4,41,-0.05,0,1,-0.389241111582859
1,1,3.5,34,0.55,0,0,-0.310324332190917
1,1,2.9,27,-0.77,1,0,0.437496118742383
0,5,3.3,29,-0.98,0,1,1.59086524053593
1,1,3.3,33,1.27,0,0,-0.345335479485363
1,2,2.9,32,-0.62,0,1,0.306759732858711
1,5,2.3,39,0.51,0,1,0.157550243649106
1,0,3.7,23,-0.17,1,1,0.0689591461388928
1,1,3.4,39,-0.56,0,0,-0.186387447351186
1,1,3,39,-0.42,0,0,0.00968669568975586
1,5,3.8,32,-0.08,0,0,-0.264010165310733
0,0,3.3,29,-1.19,0,1,1.62104912215056
1,1,3,31,-1.07,0,1,0.338231902916201
1,1,3.3,36,-0.49,0,0,-0.0589396185899211
0,5,2.4,27,-1.66,1,1,1.97925099323682
1,1,3.5,30,1.39,0,1,-0.35605000105264
1,0,3.5,38,2.78,0,1,-1.03242131891213
1,1,2.8,34,-0.63,0,0,0.305782912630317
1,1,3.7,37,1.32,0,1,-0.715962824918216
1,5,2.7,36,-1.28,1,0,0.382878313794258
1,5,3,43,0.1,0,1,-0.228779019768398
1,5,2.9,42,-0.62,0,1,0.015616110105324
1,2,3.4,33,0.69,0,1,-0.244725841102349
1,5,2.9,25,-0.9,0,1,0.519249365693396
1,6,3.4,38,1.23,0,0,-0.567159043982558
1,5,3.6,42,0.7,0,1,-0.702112467659231
1,5,3.5,37,-1.64,0,1,0.0694810458439828
1,5,3.5,29,-0.24,0,1,0.0253381099616782
1,5,3.1,41,-0.05,0,1,-0.180217358709341
1,5,3.6,38,-1,0,0,-0.188359003808384
1,2,3.2,42,-0.22,0,0,-0.245931577174218
1,2,3.3,35,2.26,0,0,-0.650903002125631
1,5,3.6,36,-0.85,0,0,-0.136598087668038
1,5,3.5,39,-0.71,0,0,-0.21763658589557
0,5,2.9,28,-1.96,0,1,1.82299604679542
1,5,3.3,42,-1.13,0,0,-0.0884068624806825
1,5,3.5,43,0.74,0,0,-0.70351684155373
1,5,3.1,43,0.29,0,1,-0.327810075153058
1,5,3.2,35,-0.66,0,1,0.0375588584524578
1,5,3.7,40,-0.43,0,1,-0.407383205632741
1,2,2.5,42,-0.41,0,0,0.180574244237651
1,5,2.7,42,-0.02,0,0,-0.0149218137470404
1,5,3.7,40,0.21,0,0,-0.58173091469449
1,5,3.5,38,1.61,0,0,-0.724209652480427
1,5,3.3,40,-0.96,0,1,-0.0933594943905105
1,9,3.5,39,0.98,0,0,-0.603614317373027
1,5,3.6,36,-0.58,0,0,-0.187301780344711
1,5,3.6,38,-0.28,0,0,-0.3025939918786
1,5,3,36,-1.19,0,1,0.261930688086295
1,2,3.2,39,-1.34,0,1,0.0987609622245072
1,5,3.9,37,0.55,0,0,-0.695276367264812
1,2,2.7,31,0.58,0,1,0.223699217710698
1,5,4,41,2.44,0,0,-1.40810313375525
1,5,3,41,-1.45,0,1,0.162403583281377
1,5,3.3,36,1.04,0,0,-0.372139565316325
1,5,3.8,35,-1.11,0,1,-0.15748830294236
1,5,3.7,39,-1.58,0,0,-0.123785251100626
1,5,3.8,37,0.4,0,0,-0.607301201954903
1,1,3.1,37,-0.51,0,1,0.0529314569351321
0,2,3.8,36,-0.66,0,1,1.34780169453341
1,5,3.3,40,-0.77,0,1,-0.0793711328374094
1,5,3.3,45,0.64,0,0,-0.626071914133296
1,5,2.6,35,0.02,0,1,0.299302948871129
1,5,3.6,37,-0.02,0,0,-0.341945246016527
1,5,3.8,40,0.64,0,1,-0.781992348041022
1,5,3.4,39,0.4,0,1,-0.389176931799643
1,5,3.9,33,0.59,0,1,-0.581634800526298
1,5,3.6,40,0.55,0,1,-0.596936064065053
1,5,3.8,38,0.55,0,1,-0.657860386314493
1,5,3.3,41,0.64,0,0,-0.482829243350664
1,2,2.9,34,-0.25,0,1,0.173101001922045
1,5,3.1,40,1.08,0,1,-0.411204894984621
1,5,3.3,38,-0.02,1,0,-0.198845777475425
1,5,3.2,40,1.89,0,0,-0.659881435481295
1,5,3.4,32,-0.17,0,1,-0.0572325632923771
1,5,3.4,41,0.17,0,0,-0.43071503360676
1,5,3.5,37,-0.13,0,0,-0.264218058185308
1,5,3.3,41,1.51,0,1,-0.687538723142204
1,5,3.6,39,-0.66,0,0,-0.280829059627305
1,2,3.5,38,0.42,0,1,-0.450460677772797
1,6,3.1,42,0.68,0,1,-0.38839654606718
1,5,3.6,37,1.27,0,0,-0.667692313534107
1,5,2.8,32,-1.28,1,0,0.426863582931841
1,5,3.6,39,-0.22,0,0,-0.385932439754061
1,6,2.8,32,-1.09,0,0,0.411524073303764
1,5,3.1,41,-0.51,0,1,-0.11258369706309
1,5,3.7,36,0.17,0,0,-0.420295834840868
1,5,3.4,38,-1.19,0,1,-0.00684860316232529
1,2,3.3,34,1.02,0,1,-0.337409648440266
1,5,3.6,38,0.36,0,1,-0.494064078797934
1,6,2.9,43,0.59,0,1,-0.287196276765452
1,5,3.7,35,0.64,0,0,-0.514881047428638
1,5,3.6,37,-0.77,1,1,-0.181802272104921
1,5,3.9,37,1.36,0,0,-0.919614635741808
1,5,3.2,40,0.59,0,1,-0.362551412262624
1,5,3.2,45,1.57,0,0,-0.778596644635563
1,5,3.3,39,0.55,0,1,-0.381045782663885
1,5,3.3,40,2.15,0,1,-0.780878438734047
1,5,3.4,38,-1,0,0,-0.0726902914393087
1,5,3.4,40,1.36,0,1,-0.685472366017228
1,5,2.8,32,-0.92,1,0,0.387004686275562
1,5,3.7,36,0.1,0,1,-0.425476602861514
1,5,3.5,30,-1.75,0,0,0.280726228857861
1,5,3.7,37,0.74,0,1,-0.573896233292325
1,10,3,35,-1.73,1,0,0.355974452923761
1,2,3.4,31,-0.23,1,0,-0.00368109590569702
1,10,2.7,36,-0.36,0,1,0.228794988720207
1,9,2.9,35,1.25,0,0,-0.163895060501548
1,10,3.2,28,0.57,0,0,0.0248840403765384
1,2,2.4,39,0.16,0,1,0.200690831500823
1,10,3.9,41,1.17,0,0,-1.03414802987533
1,10,3.5,29,0.2,0,1,-0.0933308503960853
1,10,3.1,36,-0.56,0,1,0.0885949448971432
1,2,3.8,39,-0.32,0,1,-0.482025100006143
1,2,3,36,0.36,0,1,-0.0566150859712759
1,10,2.9,36,-0.8,0,1,0.220396718472783
1,10,2.9,36,0.89,0,1,-0.163015834877324
1,10,2.8,37,0.77,0,1,-0.0492053426137896
1,10,3.2,38,0.48,0,1,-0.266619760345547
1,10,3.1,31,0.36,0,1,0.0382252181498584
1,10,3.1,37,0,0,1,-0.0536962286992658
1,10,3.3,26,-0.41,0,1,0.227690061328882
1,10,3.7,32,-0.85,1,0,-0.0481783115304891
1,10,3,31,0.44,0,0,0.0915630041079245
1,2,3.1,32,0.2,0,0,0.0201908131054094
1,10,3.2,35,-0.28,0,1,-0.00133027814293178
1,10,3.2,31,2.48,0,0,-0.475167123608469
1,2,3,33,-0.4,0,1,0.218900702444177
1,10,3.1,33,0.61,0,0,-0.0294140917639478
1,10,2.9,34,0.52,0,1,0.0405795690592071
1,10,4.1,39,1.25,0,0,-1.07483799443962
1,10,3.1,34,-0.6,0,1,0.109591819711394
1,10,2.8,34,1.51,0,1,-0.130456559422762
1,2,2.8,37,-0.23,0,0,0.16409152902989
1,10,3.2,25,-0.64,0,0,0.335342683708807
1,10,2.9,33,0.69,0,1,0.0202113288023689
1,10,3.1,29,-1.45,1,0,0.399566559315201
0,10,3,34,-0.24,0,0,1.50881787898692
1,10,2.7,34,1.51,0,0,-0.10419456268585
1,10,3,30,-1.09,0,0,0.362396497122457
1,10,3.3,33,0.89,0,0,-0.259126674459138
0,2,2.9,34,-1.93,0,1,1.7014544339803
1,10,3.4,30,0.73,0,0,-0.163759343514578
1,10,2.4,38,-0.2,0,0,0.304707436009079
1,10,3.1,32,0.93,0,1,-0.092859337350587
1,10,4,40,1.17,0,0,-1.04125614714655
1,10,4,42,0.97,0,0,-1.05131779247244
1,10,3.2,35,0.27,0,0,-0.132099963825498
1,10,3.4,29,-0.52,0,0,0.141934659559208
1,10,2.9,35,-0.4,0,1,0.197024877002148
1,2,3.1,32,-1.17,0,0,0.314277885585174
1,10,2.3,27,-1.01,0,1,0.683596897767064
1,2,3,38,0.55,0,0,-0.152164552726773
0,2,2.7,31,-0.2,0,1,1.6214499136894
1,10,3,38,0.15,0,0,-0.0779787121826555
1,10,3.9,28,0.48,0,0,-0.349514962264149
1,10,2.6,34,0,0,1,0.270315267664261
1,10,3,31,0,0,0,0.152597918964095
1,1,2.9,33,-0.2,0,1,0.190497493645261
1,10,2.7,35,-1.05,0,0,0.376028592095554
1,10,2.8,32,0.08,0,0,0.222347924942594
0,10,2.6,36,-0.72,0,0,1.6480506363891
1,2,3.4,37,0.95,0,1,-0.445704940291564
1,10,3.2,33,-0.4,0,0,0.0530791976512618
1,10,2.9,37,0.24,0,0,0.0184636665377555
1,10,2.8,25,-0.08,0,1,0.382337229747059
1,10,2.6,38,1.25,0,1,-0.0915877403455984
1,10,2.7,34,-0.12,0,1,0.223365214884463
1,10,2.9,35,1.94,0,1,-0.330940159005681
1,10,2.8,29,0.24,0,1,0.269978920120722
1,10,3,41,0.2,0,0,-0.198516914553823
1,10,3.2,35,-1.13,0,1,0.163268664461679
1,10,2.9,34,-2.06,0,1,0.495686887159918
1,10,2.6,42,1.57,0,1,-0.318695491109205
1,10,3.1,30,0.87,0,1,-0.0319136538144234
1,10,2.5,41,0.9,0,1,-0.0268995057369037
1,10,3.5,31,0.2,0,1,-0.138642924126325
1,10,3.7,35,0.44,0,0,-0.467191055301482
1,10,3.3,31,0.85,0,1,-0.162045362804947
1,2,3.1,39,1.19,0,1,-0.401538907255456
1,0,2.9,39,0.98,0,1,-0.217532628559779
1,10,2.6,40,0.16,0,0,0.0787625658073808
1,10,3.8,40,1.85,0,1,-1.06523211292708
1,10,3.2,33,-0.24,0,1,0.0592826629232212
1,10,3.3,32,0.36,0,1,-0.0756242612354218
1,10,3.3,39,0.72,0,1,-0.411171226646197
1,10,2.7,39,0.44,0,0,-0.0157249418037784
1,2,3.3,33,0.24,0,1,-0.10740493606912
1,1,3.7,38,0.11,0,1,-0.50300745435129
1,1,3.6,40,-0.09,0,0,-0.460284656084809
0,1,3.4,38,-0.51,0,1,1.38313717867418
1,1,3,33,-0.82,0,1,0.226998458130133
1,1,3.2,40,1.73,0,1,-0.619770590452107
1,1,3.3,42,1.22,1,1,-0.638587470956888
0,1,2.8,29,-1.89,1,1,1.83072100755717
1,1,3.5,33,0.05,0,0,-0.21366188274147
1,1,3.4,40,-1.06,0,1,-0.0965124621912624
1,2,3.1,36,0.53,0,1,-0.114508867266897
0,2,2.8,25,-2.22,1,0,1.92540895558171
1,10,3.6,39,0.18,0,1,-0.456135479992331
1,1,3.7,41,0.9,0,0,-0.801870968797665
1,1,3.9,36,-0.12,0,0,-0.480657300382233
1,1,3.2,44,0.75,0,1,-0.555828435748747
1,2,3.5,42,-1.17,0,0,-0.206420441931596
0,1,3.3,46,-2.08,0,1,1.44944839868228
1,2,2.2,40,1.04,0,1,0.124014595023523
1,1,3.8,41,1.16,0,0,-0.933061279546476
1,1,3.4,41,0.5,1,0,-0.509362136078733
0,2,2.8,32,-1.13,1,1,1.70033879299181
1,2,3.4,37,-1.02,0,1,0.0101382413980675
1,1,3.5,40,-0.12,0,0,-0.381301071928415
1,1,3.7,36,0.77,0,0,-0.555053399234272
1,2,3.5,42,0.83,0,0,-0.680710976574804
1,2,2.9,35,0.06,0,1,0.0849935090601948
1,2,3.9,37,0.37,0,0,-0.634847211726918
1,1,2.3,48,0.8,0,0,-0.150504947022929
1,5,3.1,37,0.14,0,0,-0.118357807480133
1,1,3.9,35,0.14,0,0,-0.509411374015227
1,1,3.2,33,0.14,1,1,-0.0367395248605631
1,3,3.9,47,-0.2,0,0,-0.881327654815048
1,4,2.8,41,0.33,0,0,-0.0990321967197743
1,1,3.5,40,0.65,0,0,-0.586171129354701
1,1,3.4,44,-0.33,0,1,-0.386574075498924
1,2,3,38,-0.02,0,1,-0.0356292048365
1,1,3.6,39,0.51,0,1,-0.543215810505107
0,2,3.4,28,-2.37,1,0,1.70473859283726
1,1,2.5,46,-0.27,0,1,0.0300079089232863
1,1,3,42,-0.4,0,1,-0.0775661725343334
0,0,2.8,34,-0.26,1,1,1.55732555847787
1,1,3.7,34,-0.96,0,1,-0.108145022989629
1,1,3.3,38,0.39,0,1,-0.301628603598927
1,2,3.9,33,0.46,0,0,-0.503585632606662
1,1,3.3,38,-0.13,0,1,-0.180390429409394
1,1,3.9,34,-0.23,0,1,-0.38947429914698
1,2,3.7,37,0.68,0,1,-0.599037036489744
1,5,2.8,40,0.4,1,1,-0.0703557652746453
1,1,3.2,45,0.43,0,1,-0.463266394636933
1,1,3.2,41,-0.28,0,1,-0.202913758658205
1,1,3.7,36,0.89,0,1,-0.620478553240883
1,1,3.5,45,-0.21,0,1,-0.521169260648431
1,10,3.4,38,1.02,1,1,-0.494275146063386
1,1,4.1,44,1.7,0,0,-1.40439528800877
1,1,3.5,41,-0.1,0,1,-0.429149144777694
1,1,3.5,39,-0.52,0,1,-0.248838207498008
1,1,3.4,41,0.24,0,0,-0.429754179712452
1,1,3.6,44,1.62,0,0,-1.00880659115852
1,0,3.3,40,1.95,0,1,-0.782404122379644
1,1,3.6,42,1.65,0,0,-0.973200965734932
1,2,2,40,1.2,0,1,0.150688660937273
1,1,3.4,45,1.87,0,0,-1.00842744385589
1,1,3.8,40,0.3,0,0,-0.674272423173276
1,1,3.7,36,0.05,0,0,-0.399966805247694
1,1,3.2,34,-0.55,0,0,0.107943024934548
1,3,3.5,37,-1.17,0,0,-0.0467124637630888
0,1,2.8,23,-2.23,1,0,2.00187331424046
1,1,3.4,38,-0.3,0,1,-0.203829167856808
1,5,3.5,40,-0.06,0,1,-0.423308443565159
1,1,3.4,39,0.57,0,0,-0.491472415917135
1,1,3.2,40,0.82,0,1,-0.408538040693965
1,2,2.9,33,0.19,0,1,0.131827094296366
1,1,3.8,38,1.16,0,1,-0.825482926558765
1,1,3.8,43,1.14,0,1,-0.984476370093454
1,5,3.5,38,0.48,0,0,-0.440203535511026
1,5,3.3,35,-0.26,0,0,-0.0429287328214216
1,2,3.3,39,1.16,0,0,-0.513412218583742
1,5,3.8,40,2.25,0,0,-1.1701291797776
1,10,3.3,33,0.6,0,0,-0.191553753880314
1,2,3.2,37,1.91,0,1,-0.584187865010689
1,5,2.8,35,0.96,1,1,-0.021422533255284
1,5,2.6,30,-0.26,0,1,0.431240066084021
1,5,3.2,38,0.56,0,0,-0.286970611434855
1,5,3.7,31,0.8,1,0,-0.377790928655295
1,2,3,40,1.45,0,0,-0.450280841431763
1,5,3.7,34,0.43,0,1,-0.42317354902233
1,5,3.9,42,0.5,0,0,-0.848092880808768
1,5,2.8,35,1.78,0,1,-0.242193162094618
1,2,2.7,32,1.02,0,1,0.07887234949255
0,2,3,30,-0.33,0,0,1.56269965184683
1,2,2.5,37,0.23,1,1,0.185415877894722
1,5,3.7,35,0,0,0,-0.355527961965185
1,5,3.5,35,0.6,0,0,-0.366716790795852
1,6,3.4,37,0.63,0,0,-0.429564395571902
1,5,2.7,28,-0.59,1,1,0.466006190463386
0,10,2.9,30,-0.99,1,0,1.66541097531051
1,5,3,38,0.92,0,0,-0.242217728031955
1,2,2.7,33,-0.24,0,0,0.287147241034566
1,6,2.9,47,0.56,0,0,-0.423899241986891
0,6,2.8,38,-0.79,0,1,1.5541763860195
1,5,2.8,34,-0.86,1,1,0.30434786518365
1,6,3.1,34,-0.56,1,0,0.138867434207363
1,5,3.4,34,-0.43,0,1,-0.0537926042610281
0,2,2.5,29,-2.01,1,0,1.91090625730362
1,5,3.2,40,-0.36,0,1,-0.150371063199409
1,5,2.7,30,0.06,0,1,0.346730517690754
0,0,2.5,26,-0.5,1,1,1.80130932206183
1,2,3.8,33,1.58,0,1,-0.706032163179086
1,5,2.3,36,1.65,0,1,0.0663442836148133
1,2,2.9,35,-0.13,0,1,0.12213338570315
0,5,2.9,30,-0.43,0,0,1.60922997410057
1,5,2.7,27,-0.72,0,1,0.537081539801126
1,2,3.2,38,0.63,0,1,-0.288598190420525
0,5,2.1,28,-1.88,0,1,2.10202351404225
1,5,3.3,37,-0.13,0,0,-0.154576854179229
1,5,2.4,39,-0.1,0,1,0.238725426615612
1,2,2.4,41,1.61,0,1,-0.139561804715068
1,5,2.3,33,0.99,1,1,0.235811157204994
0,5,2.6,45,-1.05,0,1,1.52712786317253
1,5,3.4,33,-0.03,0,1,-0.103923660676584
1,10,3.6,27,-0.1,1,1,-0.0214506239865219
1,3,3.7,40,1.75,0,0,-0.954008548490532
1,2,3.1,36,-0.43,0,0,0.0691874978096478
1,2,3.2,36,1.29,0,0,-0.385808902514078
0,5,3.2,20,-1.87,1,1,1.87094872023389
1,5,3.8,36,-0.99,0,1,-0.22078508235977
1,2,3.3,36,-0.12,0,1,-0.120659577209091
1,1,3.4,42,0.99,0,0,-0.662943587869945
1,5,3.6,40,0.73,0,1,-0.643790381656524
0,5,3.6,26,-1.15,1,1,1.56365174985882
1,5,3.8,37,0.6,0,1,-0.641813526815356
1,5,3.6,45,1.35,0,1,-1.02423889937734
1,5,3.2,23,-0.1,1,1,0.289517641109913
0,0,2.4,30,-0.89,0,1,1.7860044550598
1,5,3,38,-0.69,0,0,0.0984164853895414
1,5,2.5,25,-0.89,1,0,0.652658469220412
1,2,3,35,0.68,0,0,-0.079375388989903
0,5,3,20,-1.02,1,0,1.79360128951204
0,2,2.8,28,-1.38,1,0,1.78301607122932
1,1,3.2,38,0.07,0,1,-0.183767594684343
1,5,2.8,20,-1.19,1,0,0.682747695382261
1,5,3,44,1.45,0,1,-0.584388755697778
1,2,2.9,29,1.16,0,1,0.0739516149308492
0,2,2.6,45,-0.03,0,1,1.44283357163132
1,5,2.8,36,-1.19,0,1,0.32406480042112
1,5,3,21,-1.32,1,0,0.600761250075784
1,5,2.2,28,-0.79,1,1,0.694497296349233
1,2,3.3,35,0.9,0,1,-0.343609543333727
1,2,3.1,36,-0.59,0,1,0.0827213116723358
1,5,3.4,37,0.43,0,1,-0.33475907847432
1,5,3.2,29,-0.89,1,0,0.288705260473812
1,0,3.4,33,1.62,0,1,-0.491326700064205
1,5,3.2,36,0.27,0,1,-0.17927675218984
1,6,3.4,42,0.92,0,0,-0.633661478673827
1,2,2.7,29,-1.38,1,1,0.584450320693443
1,5,3.1,27,-1.68,1,1,0.515292352797161
1,5,3.3,37,0.03,0,1,-0.156015029235842
1,5,3.3,22,-0.76,1,0,0.380573669903635
1,5,3.3,33,0.2,0,0,-0.10736763051018
0,5,3.3,27,-0.03,1,1,1.5157018267832
1,5,3.3,28,-1.32,1,1,0.352286669874308
1,2,3.1,35,-0.14,0,0,0.0390823469356067
1,3,3.7,28,0,0,1,-0.129304774227717
1,5,2.6,34,-0.3,1,1,0.308669746943866
0,5,3.3,22,-1.45,0,0,1.7250717827828
1,0,3.6,41,0.05,0,1,-0.492529669022275
1,0,3.1,33,-0.24,1,1,0.110267628797862
1,0,3,40,-0.1,0,1,-0.0748858954594111
1,0,3.5,40,0.58,0,1,-0.558294889125574
1,0,3.7,40,-0.43,0,0,-0.421786311357316
0,0,3.3,28,1.37,1,0,1.36528279938355
1,2,2.4,41,-0.59,0,0,0.30988063607796
1,0,2.8,47,-0.14,0,1,-0.19486628784952
0,0,2.5,38,-1.69,0,1,1.69937116410819
0,0,3.4,26,-1.73,0,0,1.71202504643463
1,0,3.3,43,0.87,0,0,-0.598300695798784
1,6,3.4,34,-1.36,0,0,0.129974090739378
1,0,3.6,40,-0.08,0,1,-0.438333524864457
1,0,3.4,37,-0.51,0,0,-0.146707391402315
1,3,2.8,35,-0.96,0,1,0.31601420679835
1,0,3.7,44,0.34,1,0,-0.744555037054733
1,2,2.4,38,1.38,0,1,-0.0233646544083986
1,0,3.6,44,1.88,0,1,-1.1109864299073
1,0,3.9,32,0.13,1,0,-0.396971560488086
1,3,4,43,0.87,0,1,-1.073962495391
1,0,3.4,42,0.67,0,0,-0.564865949542206
1,0,3,46,0.27,0,1,-0.366700856160541
1,0,3.5,43,0.58,0,0,-0.642058412572261
1,0,3,43,0.54,0,1,-0.308607994957523
1,0,3.7,41,0.75,0,1,-0.756016328423587
1,0,3.9,42,-1.21,0,0,-0.462546847277204
1,2,2.8,28,-0.76,0,1,0.451082748279002
0,0,3.5,27,-1.54,1,1,1.59670047219883
1,0,3.3,46,-0.76,0,1,-0.315744574177296
1,0,3.5,45,0.87,0,1,-0.81834981187524
1,0,3.7,42,1.92,0,1,-1.10203110296738
1,3,3.6,42,0.81,0,1,-0.709343705135084
1,0,3.2,45,-0.16,0,0,-0.356265729841567
1,0,3.5,42,0.71,0,0,-0.640468717475601
1,0,3.4,45,-1.25,1,0,-0.218002822757254
1,0,3.4,44,-0.33,0,1,-0.399862337834796
0,0,3.5,41,-1.25,0,0,1.3881787165198
1,6,3.6,41,2.05,0,1,-1.05552704415853
1,0,3.6,35,-1.36,1,0,0.00573824705208532
0,0,2.7,34,-1.56,1,1,1.71268809739449
1,5,2.7,32,0.71,1,0,0.156501458337101
1,0,3,47,0.71,0,0,-0.516679580553752
1,0,3.4,44,0.81,0,1,-0.655332380320689
1,0,2.3,42,-1.25,1,1,0.41590847059111
0,0,3,39,-1.32,0,0,1.5553107823951
1,0,3.5,41,1.84,0,0,-0.92723711087649
1,2,2.9,29,-0.33,0,1,0.347057354507259
1,0,3.6,45,0.34,0,1,-0.735148730778143
1,0,3.9,33,-0.41,1,1,-0.296908450302677
1,0,2.5,35,0.19,1,1,0.276421694642589
0,0,3.7,43,-0.26,0,1,1.25801208177956
1,0,3.2,44,1.08,0,1,-0.618433847695105
0,0,3,46,-1.27,0,1,1.44532242854314
0,0,3.6,39,-1.73,0,0,1.43286284817354
1,0,3.3,43,1.82,0,0,-0.846901740559957
1,5,3.6,42,1.39,0,0,-0.862815561571404
1,1,3.7,48,1.26,0,0,-1.16796425360471
1,2,2.5,33,-0.32,0,1,0.395089259302965
1,0,3.8,40,-0.18,0,0,-0.561986406014479
1,0,3.4,38,-0.74,0,0,-0.122285430668409
1,0,3.6,40,0.09,0,0,-0.496973305198111
1,0,3,44,-0.9,1,0,-0.039465307140518
1,0,3.6,41,-0.06,0,0,-0.472996213296882
0,0,3.3,43,-0.16,1,0,1.31309653368628
1,0,3.4,47,1.22,1,1,-0.896661280545662
1,0,3.4,43,0.56,0,1,-0.612102759839952
1,0,3.6,42,1.45,0,0,-0.905694462479071
1,0,3.9,38,0.6,0,1,-0.753115597040087
1,2,2.5,35,-0.24,0,0,0.334636190791175
1,0,3.7,37,1.04,0,0,-0.682750568488114
1,0,3.5,42,0.69,0,0,-0.650083176896749
1,0,3.1,46,-0.57,1,0,-0.238863137638486
1,0,3.6,42,-0.92,0,1,-0.310559227973241
1,0,3.3,45,0.6,0,1,-0.620792120001474
1,0,3.7,40,-0.66,1,0,-0.366436830456061
1,0,3.6,38,-0.22,1,0,-0.36113353263786
1,0,3.1,42,-0.41,0,1,-0.135233243290928
1,0,3.2,43,-1.07,0,1,-0.0968821118287461
0,2,2.6,31,-0.43,0,1,1.67824834777635
1,0,3.7,42,1.22,1,0,-0.913884362711894
0,0,3.7,39,-1.5,0,1,1.38912459762777
1,0,3.1,47,1.32,0,1,-0.746288477597808
1,0,3.8,41,-0.51,0,0,-0.495995952434047
1,0,3.6,33,-0.99,0,1,0.0110618414015325
1,0,3.4,42,-0.08,0,0,-0.359556401696514
1,0,3.3,46,1.04,0,0,-0.764569131074158
1,2,3.3,32,-0.71,0,1,0.0949718549391595
0,0,3.5,37,-1.69,0,0,1.4955017356008
1,5,3.6,41,0.85,1,0,-0.698899840989515
1,0,3.9,39,-0.35,0,0,-0.53416405459936
1,0,3.4,42,-0.16,0,1,-0.344469837555281
0,0,2.4,28,-1.54,1,1,1.90957809587874
1,0,3.6,44,0.77,0,1,-0.78685931450537
1,0,3.6,40,0.67,0,1,-0.613332632582298
0,0,2.5,37,-1.67,1,1,1.72995944422957
1,0,3.7,39,1.37,0,1,-0.847253604632323
1,2,2.6,28,-0.95,0,0,0.583875313524697
0,0,3.2,44,-1.69,0,1,1.45108484883404
1,0,3.4,40,0.69,0,1,-0.496046370628543
1,0,3,46,0.95,0,0,-0.52476515214726
1,0,3.7,42,1.14,0,0,-0.904305794647258
